per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,per_name,cat_name
29,21,1,0,1,1,18600.0,1994-05-01,food_drink_service
30,6,1,0,1,1,44541.0,1994-06-01,car_dealers
30,8,1,0,1,1,5018.0,1994-06-01,furniture
30,9,1,0,1,1,5313.0,1994-06-01,electronics_appliances
30,10,1,0,1,1,12987.0,1994-06-01,building_garden_supplies
30,11,1,0,1,1,32123.0,1994-06-01,food_bev_stores
30,12,1,0,1,1,29311.0,1994-06-01,grocery_stores
30,13,1,0,1,1,8014.0,1994-06-01,health_personalcare_stores
30,14,1,0,1,1,14059.0,1994-06-01,gas_stations
30,15,1,0,1,1,10612.0,1994-06-01,clothing_stores
30,16,1,0,1,1,4135.0,1994-06-01,sporting_hobby_book_stores
30,17,1,0,1,1,23626.0,1994-06-01,general_merchandise
30,21,1,0,1,1,18889.0,1994-06-01,food_drink_service
31,6,1,0,1,1,44477.0,1994-07-01,car_dealers
31,8,1,0,1,1,5046.0,1994-07-01,furniture
31,9,1,0,1,1,5330.0,1994-07-01,electronics_appliances
31,10,1,0,1,1,13130.0,1994-07-01,building_garden_supplies
31,11,1,0,1,1,31964.0,1994-07-01,food_bev_stores
31,12,1,0,1,1,29149.0,1994-07-01,grocery_stores
31,13,1,0,1,1,8084.0,1994-07-01,health_personalcare_stores
31,14,1,0,1,1,14322.0,1994-07-01,gas_stations
31,15,1,0,1,1,10672.0,1994-07-01,clothing_stores
31,16,1,0,1,1,4111.0,1994-07-01,sporting_hobby_book_stores
31,17,1,0,1,1,23635.0,1994-07-01,general_merchandise
31,21,1,0,1,1,18962.0,1994-07-01,food_drink_service
32,6,1,0,1,1,45232.0,1994-08-01,car_dealers
32,8,1,0,1,1,5165.0,1994-08-01,furniture
32,9,1,0,1,1,5411.0,1994-08-01,electronics_appliances
32,10,1,0,1,1,13224.0,1994-08-01,building_garden_supplies
32,11,1,0,1,1,32222.0,1994-08-01,food_bev_stores
32,12,1,0,1,1,29410.0,1994-08-01,grocery_stores
32,13,1,0,1,1,8126.0,1994-08-01,health_personalcare_stores
32,14,1,0,1,1,14685.0,1994-08-01,gas_stations
32,15,1,0,1,1,10839.0,1994-08-01,clothing_stores
32,16,1,0,1,1,4249.0,1994-08-01,sporting_hobby_book_stores
32,17,1,0,1,1,23889.0,1994-08-01,general_merchandise
32,21,1,0,1,1,18868.0,1994-08-01,food_drink_service
33,6,1,0,1,1,46314.0,1994-09-01,car_dealers
33,8,1,0,1,1,5177.0,1994-09-01,furniture
33,9,1,0,1,1,5508.0,1994-09-01,electronics_appliances
33,10,1,0,1,1,13375.0,1994-09-01,building_garden_supplies
33,11,1,0,1,1,32401.0,1994-09-01,food_bev_stores
33,12,1,0,1,1,29545.0,1994-09-01,grocery_stores
33,13,1,0,1,1,8190.0,1994-09-01,health_personalcare_stores
33,14,1,0,1,1,14649.0,1994-09-01,gas_stations
33,15,1,0,1,1,10674.0,1994-09-01,clothing_stores
33,16,1,0,1,1,4306.0,1994-09-01,sporting_hobby_book_stores
33,17,1,0,1,1,23995.0,1994-09-01,general_merchandise
33,21,1,0,1,1,18978.0,1994-09-01,food_drink_service
34,6,1,0,1,1,47041.0,1994-10-01,car_dealers
34,8,1,0,1,1,5260.0,1994-10-01,furniture
34,9,1,0,1,1,5635.0,1994-10-01,electronics_appliances
34,10,1,0,1,1,13550.0,1994-10-01,building_garden_supplies
34,11,1,0,1,1,32196.0,1994-10-01,food_bev_stores
34,12,1,0,1,1,29343.0,1994-10-01,grocery_stores
34,13,1,0,1,1,8214.0,1994-10-01,health_personalcare_stores
34,14,1,0,1,1,14709.0,1994-10-01,gas_stations
34,15,1,0,1,1,11000.0,1994-10-01,clothing_stores
34,16,1,0,1,1,4347.0,1994-10-01,sporting_hobby_book_stores
34,17,1,0,1,1,24255.0,1994-10-01,general_merchandise
34,21,1,0,1,1,19010.0,1994-10-01,food_drink_service
35,6,1,0,1,1,47203.0,1994-11-01,car_dealers
35,8,1,0,1,1,5199.0,1994-11-01,furniture
35,9,1,0,1,1,5753.0,1994-11-01,electronics_appliances
35,10,1,0,1,1,13384.0,1994-11-01,building_garden_supplies
35,11,1,0,1,1,32370.0,1994-11-01,food_bev_stores
35,12,1,0,1,1,29520.0,1994-11-01,grocery_stores
35,13,1,0,1,1,8190.0,1994-11-01,health_personalcare_stores
35,14,1,0,1,1,14878.0,1994-11-01,gas_stations
35,15,1,0,1,1,10983.0,1994-11-01,clothing_stores
35,16,1,0,1,1,4221.0,1994-11-01,sporting_hobby_book_stores
35,17,1,0,1,1,24356.0,1994-11-01,general_merchandise
35,21,1,0,1,1,19028.0,1994-11-01,food_drink_service
36,6,1,0,1,1,46941.0,1994-12-01,car_dealers
36,8,1,0,1,1,5254.0,1994-12-01,furniture
36,9,1,0,1,1,5834.0,1994-12-01,electronics_appliances
36,10,1,0,1,1,13981.0,1994-12-01,building_garden_supplies
36,11,1,0,1,1,32294.0,1994-12-01,food_bev_stores
36,12,1,0,1,1,29443.0,1994-12-01,grocery_stores
36,13,1,0,1,1,8287.0,1994-12-01,health_personalcare_stores
