per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,cat_name
33,12,1,0,1,1,29545,grocery_stores
33,21,1,0,1,0,18826,food_drink_service
33,21,1,0,1,1,18978,food_drink_service
33,11,2,0,1,1,0.6,food_bev_stores
33,12,2,0,1,1,0.5,grocery_stores
33,21,2,0,1,1,0.6,food_drink_service
33,11,2,0,1,0,-2.3,food_bev_stores
33,12,2,0,1,0,-2.3,grocery_stores
33,21,2,0,1,0,-5.6,food_drink_service
34,11,1,0,1,0,31846,food_bev_stores
34,11,1,0,1,1,32196,food_bev_stores
34,12,1,0,1,0,29079,grocery_stores
34,12,1,0,1,1,29343,grocery_stores
34,21,1,0,1,0,19314,food_drink_service
34,21,1,0,1,1,19010,food_drink_service
34,11,2,0,1,1,-0.6,food_bev_stores
34,12,2,0,1,1,-0.7,grocery_stores
34,21,2,0,1,1,0.2,food_drink_service
34,11,2,0,1,0,0,food_bev_stores
34,12,2,0,1,0,-0.1,grocery_stores
34,21,2,0,1,0,2.6,food_drink_service
35,11,1,0,1,0,31915,food_bev_stores
35,11,1,0,1,1,32370,food_bev_stores
35,12,1,0,1,0,29077,grocery_stores
35,12,1,0,1,1,29520,grocery_stores
35,21,1,0,1,0,18248,food_drink_service
35,21,1,0,1,1,19028,food_drink_service
35,11,2,0,1,1,0.5,food_bev_stores
35,12,2,0,1,1,0.6,grocery_stores
35,21,2,0,1,1,0.1,food_drink_service
35,11,2,0,1,0,0.2,food_bev_stores
35,12,2,0,1,0,0,grocery_stores
35,21,2,0,1,0,-5.5,food_drink_service
36,11,1,0,1,0,36173,food_bev_stores
36,11,1,0,1,1,32294,food_bev_stores
36,12,1,0,1,0,32152,grocery_stores
36,12,1,0,1,1,29443,grocery_stores
36,21,1,0,1,0,19562,food_drink_service
36,21,1,0,1,1,19178,food_drink_service
36,11,2,0,1,1,-0.2,food_bev_stores
36,12,2,0,1,1,-0.3,grocery_stores
36,21,2,0,1,1,0.8,food_drink_service
36,11,2,0,1,0,13.3,food_bev_stores
36,12,2,0,1,0,10.6,grocery_stores
36,21,2,0,1,0,7.2,food_drink_service
37,11,1,0,1,0,31039,food_bev_stores
37,11,1,0,1,1,32625,food_bev_stores
37,12,1,0,1,0,28629,grocery_stores
37,12,1,0,1,1,29791,grocery_stores
37,21,1,0,1,0,17340,food_drink_service
37,21,1,0,1,1,19160,food_drink_service
37,11,2,0,1,1,1,food_bev_stores
37,12,2,0,1,1,1.2,grocery_stores
37,21,2,0,1,1,-0.1,food_drink_service
37,11,2,0,1,0,-14.2,food_bev_stores
37,12,2,0,1,0,-11,grocery_stores
37,21,2,0,1,0,-11.4,food_drink_service
38,11,1,0,1,0,29132,food_bev_stores
38,11,1,0,1,1,32399,food_bev_stores
38,12,1,0,1,0,26762,grocery_stores
38,12,1,0,1,1,29604,grocery_stores
38,21,1,0,1,0,16982,food_drink_service
38,21,1,0,1,1,18911,food_drink_service
38,11,2,0,1,1,-0.7,food_bev_stores
38,12,2,0,1,1,-0.6,grocery_stores
38,21,2,0,1,1,-1.3,food_drink_service
38,11,2,0,1,0,-6.1,food_bev_stores
38,12,2,0,1,0,-6.5,grocery_stores
38,21,2,0,1,0,-2.1,food_drink_service
39,11,1,0,1,0,32361,food_bev_stores
39,11,1,0,1,1,32415,food_bev_stores
39,12,1,0,1,0,29708,grocery_stores
39,12,1,0,1,1,29619,grocery_stores
39,21,1,0,1,0,19369,food_drink_service
39,21,1,0,1,1,19234,food_drink_service
39,11,2,0,1,1,0,food_bev_stores
39,12,2,0,1,1,0.1,grocery_stores
39,21,2,0,1,1,1.7,food_drink_service
39,11,2,0,1,0,11.1,food_bev_stores
39,12,2,0,1,0,11,grocery_stores
39,21,2,0,1,0,14.1,food_drink_service
40,11,1,0,1,0,31792,food_bev_stores
40,11,1,0,1,1,32312,food_bev_stores
40,12,1,0,1,0,29086,grocery_stores
40,12,1,0,1,1,29499,grocery_stores
40,21,1,0,1,0,19404,food_drink_service
40,21,1,0,1,1,19346,food_drink_service
40,11,2,0,1,1,-0.3,food_bev_stores
40,12,2,0,1,1,-0.4,grocery_stores
40,21,2,0,1,1,0.6,food_drink_service
40,11,2,0,1,0,-1.8,food_bev_stores
40,12,2,0,1,0,-2.1,grocery_stores
40,21,2,0,1,0,0.2,food_drink_service
41,11,1,0,1,0,33178,food_bev_stores
41,11,1,0,1,1,32540,food_bev_stores
41,12,1,0,1,0,30388,grocery_stores
41,12,1,0,1,1,29763,grocery_stores
41,21,1,0,1,0,20209,food_drink_service
41,21,1,0,1,1,19450,food_drink_service
41,11,2,0,1,1,0.7,food_bev_stores
41,12,2,0,1,1,0.9,grocery_stores
41,21,2,0,1,1,0.5,food_drink_service
41,11,2,0,1,0,4.4,food_bev_stores
41,12,2,0,1,0,4.5,grocery_stores
41,21,2,0,1,0,4.1,food_drink_service
42,11,1,0,1,0,33060,food_bev_stores
42,11,1,0,1,1,32597,food_bev_stores
42,12,1,0,1,0,30229,grocery_stores
42,12,1,0,1,1,29812,grocery_stores
42,21,1,0,1,0,20235,food_drink_service
42,21,1,0,1,1,19419,food_drink_service
42,11,2,0,1,1,0.2,food_bev_stores
42,12,2,0,1,1,0.2,grocery_stores
42,21,2,0,1,1,-0.2,food_drink_service
42,11,2,0,1,0,-0.4,food_bev_stores
42,12,2,0,1,0,-0.5,grocery_stores
42,21,2,0,1,0,0.1,food_drink_service
43,11,1,0,1,0,33520,food_bev_stores
43,11,1,0,1,1,32466,food_bev_stores
43,12,1,0,1,0,30654,grocery_stores
43,12,1,0,1,1,29675,grocery_stores
43,21,1,0,1,0,20502,food_drink_service
43,21,1,0,1,1,19489,food_drink_service
43,11,2,0,1,1,-0.4,food_bev_stores
43,12,2,0,1,1,-0.5,grocery_stores
43,21,2,0,1,1,0.4,food_drink_service
43,11,2,0,1,0,1.4,food_bev_stores
43,12,2,0,1,0,1.4,grocery_stores
43,21,2,0,1,0,1.3,food_drink_service
44,11,1,0,1,0,33279,food_bev_stores
44,11,1,0,1,1,32547,food_bev_stores
44,12,1,0,1,0,30434,grocery_stores
44,12,1,0,1,1,29721,grocery_stores
44,21,1,0,1,0,20878,food_drink_service
44,21,1,0,1,1,19715,food_drink_service
44,11,2,0,1,1,0.2,food_bev_stores
