per_idx,cat_idx,dt_idx,et_idx,is_adj,val
73,12,1,0,0,30679
73,12,1,0,1,30989
73,12,2,0,1,-0.2
73,12,2,0,0,-7
74,12,1,0,0,27947
74,12,1,0,1,30915
74,12,2,0,1,-0.2
74,12,2,0,0,-8.9
75,12,1,0,0,30501
75,12,1,0,1,31123
75,12,2,0,1,0.7
75,12,2,0,0,9.1
76,12,1,0,0,30826
76,12,1,0,1,31169
76,12,2,0,1,0.1
76,12,2,0,0,1.1
77,12,1,0,0,32456
77,12,1,0,1,31358
77,12,2,0,1,0.6
77,12,2,0,0,5.3
78,12,1,0,0,31215
78,12,1,0,1,31435
78,12,2,0,1,0.2
78,12,2,0,0,-3.8
79,12,1,0,0,33067
79,12,1,0,1,31673
79,12,2,0,1,0.8
79,12,2,0,0,5.9
80,12,1,0,0,32220
80,12,1,0,1,31744
80,12,2,0,1,0.2
80,12,2,0,0,-2.6
81,12,1,0,0,31005
81,12,1,0,1,31702
81,12,2,0,1,-0.1
81,12,2,0,0,-3.8
82,12,1,0,0,32214
82,12,1,0,1,31864
82,12,2,0,1,0.5
82,12,2,0,0,3.9
83,12,1,0,0,31377
83,12,1,0,1,31920
83,12,2,0,1,0.2
83,12,2,0,0,-2.6
84,12,1,0,0,34681
84,12,1,0,1,32291
84,12,2,0,1,1.2
84,12,2,0,0,10.5
85,12,1,0,0,31516
85,12,1,0,1,32225
85,12,2,0,1,-0.2
85,12,2,0,0,-9.1
86,12,1,0,0,29413
86,12,1,0,1,32465
86,12,2,0,1,0.7
86,12,2,0,0,-6.7
87,12,1,0,0,32451
87,12,1,0,1,32419
87,12,2,0,1,-0.1
87,12,2,0,0,10.3
88,12,1,0,0,31948
88,12,1,0,1,32700
88,12,2,0,1,0.9
88,12,2,0,0,-1.6
89,12,1,0,0,33727
89,12,1,0,1,32776
89,12,2,0,1,0.2
89,12,2,0,0,5.6
90,12,1,0,0,32568
90,12,1,0,1,32633
90,12,2,0,1,-0.4
90,12,2,0,0,-3.4
91,12,1,0,0,34568
91,12,1,0,1,32891
91,12,2,0,1,0.8
91,12,2,0,0,6.1
92,12,1,0,0,32944
92,12,1,0,1,32878
92,12,2,0,1,0
92,12,2,0,0,-4.7
93,12,1,0,0,32624
93,12,1,0,1,33121
93,12,2,0,1,0.7
93,12,2,0,0,-1
94,12,1,0,0,32935
94,12,1,0,1,32968
94,12,2,0,1,-0.5
94,12,2,0,0,1
95,12,1,0,0,32510
95,12,1,0,1,32972
95,12,2,0,1,0
95,12,2,0,0,-1.3
96,12,1,0,0,37046
96,12,1,0,1,34270
96,12,2,0,1,3.9
96,12,2,0,0,14
97,12,1,0,0,31336
97,12,1,0,1,32239
97,12,2,0,1,-5.9
97,12,2,0,0,-15.4
98,12,1,0,0,30515
98,12,1,0,1,32567
98,12,2,0,1,1
98,12,2,0,0,-2.6
99,12,1,0,0,33216
99,12,1,0,1,33117
99,12,2,0,1,1.7
99,12,2,0,0,8.9
100,12,1,0,0,33004
100,12,1,0,1,33541
100,12,2,0,1,1.3
100,12,2,0,0,-0.6
101,12,1,0,0,34085
101,12,1,0,1,33221
101,12,2,0,1,-1
101,12,2,0,0,3.3
102,12,1,0,0,33880
102,12,1,0,1,33644
102,12,2,0,1,1.3
102,12,2,0,0,-0.6
103,12,1,0,0,34517
103,12,1,0,1,33479
103,12,2,0,1,-0.5
103,12,2,0,0,1.9
104,12,1,0,0,34225
104,12,1,0,1,33554
104,12,2,0,1,0.2
104,12,2,0,0,-0.8
105,12,1,0,0,33324
105,12,1,0,1,33729
105,12,2,0,1,0.5
105,12,2,0,0,-2.6
106,12,1,0,0,33190
106,12,1,0,1,33867
106,12,2,0,1,0.4
106,12,2,0,0,-0.4
107,12,1,0,0,33969
107,12,1,0,1,34071
107,12,2,0,1,0.6
107,12,2,0,0,2.3
108,12,1,0,0,37254
108,12,1,0,1,34558
108,12,2,0,1,1.4
108,12,2,0,0,9.7
109,12,1,0,0,33236
109,12,1,0,1,34229
109,12,2,0,1,-1
109,12,2,0,0,-10.8
110,12,1,0,0,31488
110,12,1,0,1,34602
110,12,2,0,1,1.1
110,12,2,0,0,-5.3
111,12,1,0,0,34856
111,12,1,0,1,34477
111,12,2,0,1,-0.4
111,12,2,0,0,10.7
112,12,1,0,0,33685
112,12,1,0,1,34727
112,12,0,1,1,0.8
112,12,0,1,0,0.8
112,12,0,2,1,0.2
112,12,0,2,0,0.2
112,12,2,0,1,0.7
112,12,2,0,0,-3.4
113,12,1,0,0,36068
113,12,1,0,1,34781
113,12,0,1,1,0.8
113,12,0,1,0,0.8
113,12,0,2,1,0.2
113,12,0,2,0,0.2
113,12,2,0,1,0.2
113,12,2,0,0,7.1
114,12,1,0,0,35215
114,12,1,0,1,34866
114,12,0,1,1,0.8
114,12,0,1,0,0.8
114,12,0,2,1,0.2
114,12,0,2,0,0.2
114,12,2,0,1,0.2
114,12,2,0,0,-2.4
115,12,1,0,0,35418
115,12,1,0,1,34792
115,12,0,1,1,0.9
115,12,0,1,0,0.9
115,12,0,2,1,0.1
115,12,0,2,0,0.1
115,12,2,0,1,-0.2
115,12,2,0,0,0.6
116,12,1,0,0,35919
116,12,1,0,1,35043
116,12,0,1,1,0.9
116,12,0,1,0,0.9
116,12,0,2,1,0.2
116,12,0,2,0,0.2
116,12,2,0,1,0.7
116,12,2,0,0,1.4
117,12,1,0,0,34379
117,12,1,0,1,35152
117,12,0,1,1,0.8
117,12,0,1,0,0.8
117,12,0,2,1,0.2
117,12,0,2,0,0.2
117,12,2,0,1,0.3
117,12,2,0,0,-4.3
118,12,1,0,0,34847
118,12,1,0,1,35270
118,12,0,1,1,0.8
118,12,0,1,0,0.8
118,12,0,2,1,0.1
118,12,0,2,0,0.1
118,12,2,0,1,0.3
118,12,2,0,0,1.4
119,12,1,0,0,35308
119,12,1,0,1,35414
119,12,0,1,1,0.8
119,12,0,1,0,0.8
119,12,0,2,1,0.1
119,12,0,2,0,0.1
119,12,2,0,1,0.4
119,12,2,0,0,1.3
120,12,1,0,0,37708
120,12,1,0,1,35208
120,12,0,1,1,0.8
