val,yearmonth,per_name,cat_name
2.9,1994-2,2/1/1994,sporting_hobby_book_stores
1.6,1994-2,2/1/1994,general_merchandise
4.5,1994-2,2/1/1994,food_drink_service
1.8,1994-3,3/1/1994,car_dealers
2.8,1994-3,3/1/1994,furniture
2.1,1994-3,3/1/1994,electronics_appliances
4.4,1994-3,3/1/1994,building_garden_supplies
0,1994-3,3/1/1994,food_bev_stores
0,1994-3,3/1/1994,grocery_stores
2.4,1994-3,3/1/1994,health_personalcare_stores
0.3,1994-3,3/1/1994,gas_stations
2.1,1994-3,3/1/1994,clothing_stores
0.9,1994-3,3/1/1994,sporting_hobby_book_stores
2.5,1994-3,3/1/1994,general_merchandise
2.1,1994-3,3/1/1994,food_drink_service
1.3,1994-4,4/1/1994,car_dealers
0.1,1994-4,4/1/1994,furniture
0.8,1994-4,4/1/1994,electronics_appliances
2.4,1994-4,4/1/1994,building_garden_supplies
0.6,1994-4,4/1/1994,food_bev_stores
0.7,1994-4,4/1/1994,grocery_stores
-0.9,1994-4,4/1/1994,health_personalcare_stores
-0.3,1994-4,4/1/1994,gas_stations
-2.3,1994-4,4/1/1994,clothing_stores
-2.3,1994-4,4/1/1994,sporting_hobby_book_stores
-1.3,1994-4,4/1/1994,general_merchandise
-1.5,1994-4,4/1/1994,food_drink_service
-2.2,1994-5,5/1/1994,car_dealers
1.1,1994-5,5/1/1994,furniture
1.9,1994-5,5/1/1994,electronics_appliances
-0.3,1994-5,5/1/1994,building_garden_supplies
-0.1,1994-5,5/1/1994,food_bev_stores
-0.3,1994-5,5/1/1994,grocery_stores
1.5,1994-5,5/1/1994,health_personalcare_stores
-0.7,1994-5,5/1/1994,gas_stations
-1,1994-5,5/1/1994,clothing_stores
2.1,1994-5,5/1/1994,sporting_hobby_book_stores
-0.4,1994-5,5/1/1994,general_merchandise
0.4,1994-5,5/1/1994,food_drink_service
1,1994-6,6/1/1994,car_dealers
0.9,1994-6,6/1/1994,furniture
2.5,1994-6,6/1/1994,electronics_appliances
-0.4,1994-6,6/1/1994,building_garden_supplies
0.8,1994-6,6/1/1994,food_bev_stores
1,1994-6,6/1/1994,grocery_stores
0.7,1994-6,6/1/1994,health_personalcare_stores
2.1,1994-6,6/1/1994,gas_stations
1.5,1994-6,6/1/1994,clothing_stores
0.4,1994-6,6/1/1994,sporting_hobby_book_stores
1.5,1994-6,6/1/1994,general_merchandise
1.6,1994-6,6/1/1994,food_drink_service
-0.1,1994-7,7/1/1994,car_dealers
0.6,1994-7,7/1/1994,furniture
0.3,1994-7,7/1/1994,electronics_appliances
1.1,1994-7,7/1/1994,building_garden_supplies
-0.5,1994-7,7/1/1994,food_bev_stores
-0.6,1994-7,7/1/1994,grocery_stores
0.9,1994-7,7/1/1994,health_personalcare_stores
1.9,1994-7,7/1/1994,gas_stations
0.6,1994-7,7/1/1994,clothing_stores
-0.6,1994-7,7/1/1994,sporting_hobby_book_stores
0,1994-7,7/1/1994,general_merchandise
0.4,1994-7,7/1/1994,food_drink_service
1.7,1994-8,8/1/1994,car_dealers
2.4,1994-8,8/1/1994,furniture
1.5,1994-8,8/1/1994,electronics_appliances
0.7,1994-8,8/1/1994,building_garden_supplies
0.8,1994-8,8/1/1994,food_bev_stores
0.9,1994-8,8/1/1994,grocery_stores
0.5,1994-8,8/1/1994,health_personalcare_stores
2.5,1994-8,8/1/1994,gas_stations
1.6,1994-8,8/1/1994,clothing_stores
3.4,1994-8,8/1/1994,sporting_hobby_book_stores
1.1,1994-8,8/1/1994,general_merchandise
-0.5,1994-8,8/1/1994,food_drink_service
2.4,1994-9,9/1/1994,car_dealers
0.2,1994-9,9/1/1994,furniture
1.8,1994-9,9/1/1994,electronics_appliances
1.1,1994-9,9/1/1994,building_garden_supplies
0.6,1994-9,9/1/1994,food_bev_stores
0.5,1994-9,9/1/1994,grocery_stores
0.8,1994-9,9/1/1994,health_personalcare_stores
-0.2,1994-9,9/1/1994,gas_stations
-1.5,1994-9,9/1/1994,clothing_stores
1.3,1994-9,9/1/1994,sporting_hobby_book_stores
0.4,1994-9,9/1/1994,general_merchandise
0.6,1994-9,9/1/1994,food_drink_service
1.6,1994-10,10/1/1994,car_dealers
1.6,1994-10,10/1/1994,furniture
2.3,1994-10,10/1/1994,electronics_appliances
1.3,1994-10,10/1/1994,building_garden_supplies
-0.6,1994-10,10/1/1994,food_bev_stores
-0.7,1994-10,10/1/1994,grocery_stores
0.3,1994-10,10/1/1994,health_personalcare_stores
0.4,1994-10,10/1/1994,gas_stations
3.1,1994-10,10/1/1994,clothing_stores
1,1994-10,10/1/1994,sporting_hobby_book_stores
1.1,1994-10,10/1/1994,general_merchandise
0.2,1994-10,10/1/1994,food_drink_service
0.3,1994-11,11/1/1994,car_dealers
-1.2,1994-11,11/1/1994,furniture
2.1,1994-11,11/1/1994,electronics_appliances
-1.2,1994-11,11/1/1994,building_garden_supplies
0.5,1994-11,11/1/1994,food_bev_stores
0.6,1994-11,11/1/1994,grocery_stores
-0.3,1994-11,11/1/1994,health_personalcare_stores
1.1,1994-11,11/1/1994,gas_stations
-0.2,1994-11,11/1/1994,clothing_stores
-2.9,1994-11,11/1/1994,sporting_hobby_book_stores
0.4,1994-11,11/1/1994,general_merchandise
0.1,1994-11,11/1/1994,food_drink_service
-0.6,1994-12,12/1/1994,car_dealers
1.1,1994-12,12/1/1994,furniture
1.4,1994-12,12/1/1994,electronics_appliances
4.5,1994-12,12/1/1994,building_garden_supplies
-0.2,1994-12,12/1/1994,food_bev_stores
-0.3,1994-12,12/1/1994,grocery_stores
1.2,1994-12,12/1/1994,health_personalcare_stores
0,1994-12,12/1/1994,gas_stations
-0.3,1994-12,12/1/1994,clothing_stores
0.8,1994-12,12/1/1994,sporting_hobby_book_stores
0.9,1994-12,12/1/1994,general_merchandise
0.8,1994-12,12/1/1994,food_drink_service
0.6,1995-1,1/1/1995,car_dealers
0.2,1995-1,1/1/1995,furniture
1,1995-1,1/1/1995,electronics_appliances
-1.7,1995-1,1/1/1995,building_garden_supplies
1,1995-1,1/1/1995,food_bev_stores
1.2,1995-1,1/1/1995,grocery_stores
0.2,1995-1,1/1/1995,health_personalcare_stores
0.2,1995-1,1/1/1995,gas_stations
-0.1,1995-1,1/1/1995,clothing_stores
4.3,1995-1,1/1/1995,sporting_hobby_book_stores
1.4,1995-1,1/1/1995,general_merchandise
-0.1,1995-1,1/1/1995,food_drink_service
-2.8,1995-2,2/1/1995,car_dealers
-3.5,1995-2,2/1/1995,furniture
-1.1,1995-2,2/1/1995,electronics_appliances
-0.9,1995-2,2/1/1995,building_garden_supplies
-0.7,1995-2,2/1/1995,food_bev_stores
-0.6,1995-2,2/1/1995,grocery_stores
0,1995-2,2/1/1995,health_personalcare_stores
0.3,1995-2,2/1/1995,gas_stations
-3.3,1995-2,2/1/1995,clothing_stores
-3.1,1995-2,2/1/1995,sporting_hobby_book_stores
-3.3,1995-2,2/1/1995,general_merchandise
-1.3,1995-2,2/1/1995,food_drink_service
1.7,1995-3,3/1/1995,car_dealers
1,1995-3,3/1/1995,furniture
0.4,1995-3,3/1/1995,electronics_appliances
-0.2,1995-3,3/1/1995,building_garden_supplies
0,1995-3,3/1/1995,food_bev_stores
0.1,1995-3,3/1/1995,grocery_stores
0,1995-3,3/1/1995,health_personalcare_stores
-0.3,1995-3,3/1/1995,gas_stations
2.5,1995-3,3/1/1995,clothing_stores
1.1,1995-3,3/1/1995,sporting_hobby_book_stores
1.9,1995-3,3/1/1995,general_merchandise
1.7,1995-3,3/1/1995,food_drink_service
0.8,1995-4,4/1/1995,car_dealers
1,1995-4,4/1/1995,furniture
-2,1995-4,4/1/1995,electronics_appliances
-1.3,1995-4,4/1/1995,building_garden_supplies
-0.3,1995-4,4/1/1995,food_bev_stores
-0.4,1995-4,4/1/1995,grocery_stores
1.8,1995-4,4/1/1995,health_personalcare_stores
0.7,1995-4,4/1/1995,gas_stations
-0.5,1995-4,4/1/1995,clothing_stores
0,1995-4,4/1/1995,sporting_hobby_book_stores
0.7,1995-4,4/1/1995,general_merchandise
0.6,1995-4,4/1/1995,food_drink_service
1.4,1995-5,5/1/1995,car_dealers
0.7,1995-5,5/1/1995,furniture
3.9,1995-5,5/1/1995,electronics_appliances
-0.3,1995-5,5/1/1995,building_garden_supplies
0.7,1995-5,5/1/1995,food_bev_stores
0.9,1995-5,5/1/1995,grocery_stores
-0.3,1995-5,5/1/1995,health_personalcare_stores
1.3,1995-5,5/1/1995,gas_stations
1.7,1995-5,5/1/1995,clothing_stores
0.8,1995-5,5/1/1995,sporting_hobby_book_stores
0.4,1995-5,5/1/1995,general_merchandise
0.5,1995-5,5/1/1995,food_drink_service
4.1,1995-6,6/1/1995,car_dealers
0,1995-6,6/1/1995,furniture
0.7,1995-6,6/1/1995,electronics_appliances
1.3,1995-6,6/1/1995,building_garden_supplies
0.2,1995-6,6/1/1995,food_bev_stores
0.2,1995-6,6/1/1995,grocery_stores
0.7,1995-6,6/1/1995,health_personalcare_stores
0.8,1995-6,6/1/1995,gas_stations
-0.3,1995-6,6/1/1995,clothing_stores
0.9,1995-6,6/1/1995,sporting_hobby_book_stores
1.3,1995-6,6/1/1995,general_merchandise
-0.2,1995-6,6/1/1995,food_drink_service
-1.7,1995-7,7/1/1995,car_dealers
1.9,1995-7,7/1/1995,furniture
-0.6,1995-7,7/1/1995,electronics_appliances
0.7,1995-7,7/1/1995,building_garden_supplies
-0.4,1995-7,7/1/1995,food_bev_stores
-0.5,1995-7,7/1/1995,grocery_stores
-0.6,1995-7,7/1/1995,health_personalcare_stores
-0.5,1995-7,7/1/1995,gas_stations
-1.1,1995-7,7/1/1995,clothing_stores
0.2,1995-7,7/1/1995,sporting_hobby_book_stores
0.8,1995-7,7/1/1995,general_merchandise
0.4,1995-7,7/1/1995,food_drink_service
1.9,1995-8,8/1/1995,car_dealers
-0.3,1995-8,8/1/1995,furniture
3.3,1995-8,8/1/1995,electronics_appliances
0.3,1995-8,8/1/1995,building_garden_supplies
0.2,1995-8,8/1/1995,food_bev_stores
0.2,1995-8,8/1/1995,grocery_stores
0.7,1995-8,8/1/1995,health_personalcare_stores
-0.1,1995-8,8/1/1995,gas_stations
-0.1,1995-8,8/1/1995,clothing_stores
0.7,1995-8,8/1/1995,sporting_hobby_book_stores
-0.8,1995-8,8/1/1995,general_merchandise
1.2,1995-8,8/1/1995,food_drink_service
-1.1,1995-9,9/1/1995,car_dealers
1.9,1995-9,9/1/1995,furniture
-0.3,1995-9,9/1/1995,electronics_appliances
1.1,1995-9,9/1/1995,building_garden_supplies
0.2,1995-9,9/1/1995,food_bev_stores
0,1995-9,9/1/1995,grocery_stores
1.4,1995-9,9/1/1995,health_personalcare_stores
-0.2,1995-9,9/1/1995,gas_stations
3.6,1995-9,9/1/1995,clothing_stores
-0.5,1995-9,9/1/1995,sporting_hobby_book_stores
1.2,1995-9,9/1/1995,general_merchandise
-0.4,1995-9,9/1/1995,food_drink_service
0.2,1995-10,10/1/1995,car_dealers
0.4,1995-10,10/1/1995,furniture
1.2,1995-10,10/1/1995,electronics_appliances
0.7,1995-10,10/1/1995,building_garden_supplies
-0.1,1995-10,10/1/1995,food_bev_stores
-0.1,1995-10,10/1/1995,grocery_stores
-0.3,1995-10,10/1/1995,health_personalcare_stores
-1.2,1995-10,10/1/1995,gas_stations
-2.8,1995-10,10/1/1995,clothing_stores
-0.6,1995-10,10/1/1995,sporting_hobby_book_stores
-1.3,1995-10,10/1/1995,general_merchandise
-0.1,1995-10,10/1/1995,food_drink_service
1.2,1995-11,11/1/1995,car_dealers
1.6,1995-11,11/1/1995,furniture
0.8,1995-11,11/1/1995,electronics_appliances
1.1,1995-11,11/1/1995,building_garden_supplies
0.5,1995-11,11/1/1995,food_bev_stores
0.6,1995-11,11/1/1995,grocery_stores
1.2,1995-11,11/1/1995,health_personalcare_stores
-0.2,1995-11,11/1/1995,gas_stations
3.6,1995-11,11/1/1995,clothing_stores
2.7,1995-11,11/1/1995,sporting_hobby_book_stores
1.1,1995-11,11/1/1995,general_merchandise
0,1995-11,11/1/1995,food_drink_service
0.6,1995-12,12/1/1995,car_dealers
-1.3,1995-12,12/1/1995,furniture
0.3,1995-12,12/1/1995,electronics_appliances
4.2,1995-12,12/1/1995,building_garden_supplies
0.5,1995-12,12/1/1995,food_bev_stores
0.5,1995-12,12/1/1995,grocery_stores
0.8,1995-12,12/1/1995,health_personalcare_stores
1.8,1995-12,12/1/1995,gas_stations
-1.3,1995-12,12/1/1995,clothing_stores
-0.6,1995-12,12/1/1995,sporting_hobby_book_stores
0.6,1995-12,12/1/1995,general_merchandise
0.1,1995-12,12/1/1995,food_drink_service
0.4,1996-1,1/1/1996,car_dealers
-2.6,1996-1,1/1/1996,furniture
-1.4,1996-1,1/1/1996,electronics_appliances
-4.5,1996-1,1/1/1996,building_garden_supplies
0.6,1996-1,1/1/1996,food_bev_stores
0.4,1996-1,1/1/1996,grocery_stores
-2.5,1996-1,1/1/1996,health_personalcare_stores
1.5,1996-1,1/1/1996,gas_stations
-0.2,1996-1,1/1/1996,clothing_stores
2.1,1996-1,1/1/1996,sporting_hobby_book_stores
-1.3,1996-1,1/1/1996,general_merchandise
-0.3,1996-1,1/1/1996,food_drink_service
3.9,1996-2,2/1/1996,car_dealers
0.8,1996-2,2/1/1996,furniture
0.9,1996-2,2/1/1996,electronics_appliances
0.1,1996-2,2/1/1996,building_garden_supplies
-0.5,1996-2,2/1/1996,food_bev_stores
-0.4,1996-2,2/1/1996,grocery_stores
2.8,1996-2,2/1/1996,health_personalcare_stores
-0.1,1996-2,2/1/1996,gas_stations
2.1,1996-2,2/1/1996,clothing_stores
