per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
10,13,2,0,1,1,1.5
10,14,2,0,1,1,0.4
10,15,2,0,1,1,0.2
10,16,2,0,1,1,1.1
10,17,2,0,1,1,0.8
10,21,2,0,1,1,1.7
10,6,2,0,1,0,2.4
10,8,2,0,1,0,3.9
10,9,2,0,1,0,5.8
10,10,2,0,1,0,2.6
10,11,2,0,1,0,4.1
10,12,2,0,1,0,4
10,13,2,0,1,0,5.6
10,14,2,0,1,0,4
10,15,2,0,1,0,7.1
10,16,2,0,1,0,-2.3
10,17,2,0,1,0,12.1
10,21,2,0,1,0,7.3
11,6,1,0,1,0,32360
11,6,1,0,1,1,35928
11,8,1,0,1,0,4687
11,8,1,0,1,1,4368
11,9,1,0,1,0,4419
11,9,1,0,1,1,4118
11,10,1,0,1,0,10156
11,10,1,0,1,1,10873
11,11,1,0,1,0,30388
11,11,1,0,1,1,30992
11,12,1,0,1,0,27620
11,12,1,0,1,1,28184
11,13,1,0,1,0,7115
11,13,1,0,1,1,7497
11,14,1,0,1,0,13064
11,14,1,0,1,1,13358
11,15,1,0,1,0,11187
11,15,1,0,1,1,10076
11,16,1,0,1,0,3851
11,16,1,0,1,1,3626
11,17,1,0,1,0,25024
11,17,1,0,1,1,21078
11,21,1,0,1,0,16723
11,21,1,0,1,1,17420
11,6,2,0,1,1,-0.1
11,8,2,0,1,1,1.6
11,9,2,0,1,1,-1.6
11,10,2,0,1,1,-0.9
11,11,2,0,1,1,-0.5
11,12,2,0,1,1,-0.5
11,13,2,0,1,1,-0.5
11,14,2,0,1,1,0.4
11,15,2,0,1,1,-1
11,16,2,0,1,1,0.5
11,17,2,0,1,1,1.1
11,21,2,0,1,1,1.8
11,6,2,0,1,0,-11.9
11,8,2,0,1,0,4.2
11,9,2,0,1,0,10.1
11,10,2,0,1,0,-12.5
11,11,2,0,1,0,-3.2
11,12,2,0,1,0,-3.4
11,13,2,0,1,0,-4.7
11,14,2,0,1,0,-4.4
11,15,2,0,1,0,9.1
11,16,2,0,1,0,15.7
11,17,2,0,1,0,19.3
11,21,2,0,1,0,-5.3
12,6,1,0,1,0,33067
12,6,1,0,1,1,36272
12,8,1,0,1,0,5287
12,8,1,0,1,1,4428
12,9,1,0,1,0,7014
12,9,1,0,1,1,4248
12,10,1,0,1,0,10271
12,10,1,0,1,1,11082
12,11,1,0,1,0,34170
12,11,1,0,1,1,31057
12,12,1,0,1,0,30294
12,12,1,0,1,1,28233
12,13,1,0,1,0,9235
12,13,1,0,1,1,7526
12,14,1,0,1,0,13488
12,14,1,0,1,1,13475
12,15,1,0,1,0,18395
12,15,1,0,1,1,10318
12,16,1,0,1,0,7133
12,16,1,0,1,1,3800
12,17,1,0,1,0,37373
12,17,1,0,1,1,21752
12,21,1,0,1,0,17491
12,21,1,0,1,1,17491
12,6,2,0,1,1,1
12,8,2,0,1,1,1.4
12,9,2,0,1,1,3.2
12,10,2,0,1,1,1.9
12,11,2,0,1,1,0.2
12,12,2,0,1,1,0.2
12,13,2,0,1,1,0.4
12,14,2,0,1,1,0.9
12,15,2,0,1,1,2.4
12,16,2,0,1,1,4.8
12,17,2,0,1,1,3.2
12,21,2,0,1,1,0.4
12,6,2,0,1,0,2.2
12,8,2,0,1,0,12.8
12,9,2,0,1,0,58.7
12,10,2,0,1,0,1.1
12,11,2,0,1,0,12.4
12,12,2,0,1,0,9.7
12,13,2,0,1,0,29.8
12,14,2,0,1,0,3.2
12,15,2,0,1,0,64.4
12,16,2,0,1,0,85.2
12,17,2,0,1,0,49.3
12,21,2,0,1,0,4.6
13,6,1,0,1,0,32200
13,6,1,0,1,1,37621
13,8,1,0,1,0,4104
13,8,1,0,1,1,4637
13,9,1,0,1,0,4105
13,9,1,0,1,1,4395
13,10,1,0,1,0,8947
13,10,1,0,1,1,11333
13,11,1,0,1,0,30039
13,11,1,0,1,1,31045
13,12,1,0,1,0,27571
13,12,1,0,1,1,28220
13,13,1,0,1,0,7172
13,13,1,0,1,1,7518
13,14,1,0,1,0,12527
13,14,1,0,1,1,13398
13,15,1,0,1,0,7502
13,15,1,0,1,1,10581
13,16,1,0,1,0,3254
13,16,1,0,1,1,3648
13,17,1,0,1,0,16097
13,17,1,0,1,1,21383
13,21,1,0,1,0,16201
13,21,1,0,1,1,17553
13,6,2,0,1,1,3.7
13,8,2,0,1,1,4.7
13,9,2,0,1,1,3.5
13,10,2,0,1,1,2.3
13,11,2,0,1,1,0
13,12,2,0,1,1,0
13,13,2,0,1,1,-0.1
13,14,2,0,1,1,-0.6
13,15,2,0,1,1,2.5
13,16,2,0,1,1,-4
13,17,2,0,1,1,-1.7
13,21,2,0,1,1,0.4
13,6,2,0,1,0,-2.6
13,8,2,0,1,0,-22.4
13,9,2,0,1,0,-41.5
13,10,2,0,1,0,-12.9
13,11,2,0,1,0,-12.1
13,12,2,0,1,0,-9
13,13,2,0,1,0,-22.3
13,14,2,0,1,0,-7.1
13,15,2,0,1,0,-59.2
13,16,2,0,1,0,-54.4
13,17,2,0,1,0,-56.9
13,21,2,0,1,0,-7.4
14,6,1,0,1,0,32787
14,6,1,0,1,1,36723
14,8,1,0,1,0,3908
14,8,1,0,1,1,4507
14,9,1,0,1,0,3735
14,9,1,0,1,1,4343
14,10,1,0,1,0,9208
14,10,1,0,1,1,11410
14,11,1,0,1,0,28126
14,11,1,0,1,1,31233
14,12,1,0,1,0,25748
14,12,1,0,1,1,28419
14,13,1,0,1,0,7138
14,13,1,0,1,1,7651
14,14,1,0,1,0,12060
14,14,1,0,1,1,13596
14,15,1,0,1,0,7524
14,15,1,0,1,1,10150
14,16,1,0,1,0,2735
14,16,1,0,1,1,3585
14,17,1,0,1,0,16319
14,17,1,0,1,1,21392
14,21,1,0,1,0,15625
14,21,1,0,1,1,17478
14,6,2,0,1,1,-2.4
14,8,2,0,1,1,-2.8
14,9,2,0,1,1,-1.2
14,10,2,0,1,1,0.7
14,11,2,0,1,1,0.6
14,12,2,0,1,1,0.7
14,13,2,0,1,1,1.8
14,14,2,0,1,1,1.5
14,15,2,0,1,1,-4.1
14,16,2,0,1,1,-1.7
14,17,2,0,1,1,0
14,21,2,0,1,1,-0.4
14,6,2,0,1,0,1.8
14,8,2,0,1,0,-4.8
14,9,2,0,1,0,-9
14,10,2,0,1,0,2.9
14,11,2,0,1,0,-6.4
14,12,2,0,1,0,-6.6
14,13,2,0,1,0,-0.5
14,14,2,0,1,0,-3.7
14,15,2,0,1,0,0.3
14,16,2,0,1,0,-15.9
14,17,2,0,1,0,1.4
14,21,2,0,1,0,-3.6
15,6,1,0,1,0,39258
15,6,1,0,1,1,35955
15,8,1,0,1,0,4369
15,8,1,0,1,1,4463
15,9,1,0,1,0,4159
15,9,1,0,1,1,4383
15,10,1,0,1,0,11073
15,10,1,0,1,1,11184
15,11,1,0,1,0,30455
15,11,1,0,1,1,31058
15,12,1,0,1,0,27911
15,12,1,0,1,1,28307
15,13,1,0,1,0,7719
15,13,1,0,1,1,7605
15,14,1,0,1,0,13163
15,14,1,0,1,1,13487
15,15,1,0,1,0,8766
15,15,1,0,1,1,9916
15,16,1,0,1,0,3211
15,16,1,0,1,1,3608
15,17,1,0,1,0,19066
15,17,1,0,1,1,21273
15,21,1,0,1,0,17414
15,21,1,0,1,1,17554
15,6,2,0,1,1,-2.1
15,8,2,0,1,1,-1
15,9,2,0,1,1,0.9
15,10,2,0,1,1,-2
15,11,2,0,1,1,-0.6
15,12,2,0,1,1,-0.4
15,13,2,0,1,1,-0.6
15,14,2,0,1,1,-0.8
15,15,2,0,1,1,-2.3
15,16,2,0,1,1,0.6
15,17,2,0,1,1,-0.6
15,21,2,0,1,1,0.4
15,6,2,0,1,0,19.7
15,8,2,0,1,0,11.8
15,9,2,0,1,0,11.4
15,10,2,0,1,0,20.3
15,11,2,0,1,0,8.3
15,12,2,0,1,0,8.4
15,13,2,0,1,0,8.1
15,14,2,0,1,0,9.1
15,15,2,0,1,0,16.5
15,16,2,0,1,0,17.4
15,17,2,0,1,0,16.8
15,21,2,0,1,0,11.4
16,6,1,0,1,0,41055
16,6,1,0,1,1,38521
16,8,1,0,1,0,4372
16,8,1,0,1,1,4564
16,9,1,0,1,0,3974
16,9,1,0,1,1,4460
16,10,1,0,1,0,12374
16,10,1,0,1,1,11417
16,11,1,0,1,0,30820
16,11,1,0,1,1,31129
16,12,1,0,1,0,28112
16,12,1,0,1,1,28367
16,13,1,0,1,0,7721
16,13,1,0,1,1,7683
16,14,1,0,1,0,13377
16,14,1,0,1,1,13539
16,15,1,0,1,0,9867
16,15,1,0,1,1,10257
16,16,1,0,1,0,3374
16,16,1,0,1,1,3749
16,17,1,0,1,0,20271
16,17,1,0,1,1,21759
16,21,1,0,1,0,17841
16,21,1,0,1,1,17770
16,6,2,0,1,1,7.1
16,8,2,0,1,1,2.3
16,9,2,0,1,1,1.8
16,10,2,0,1,1,2.1
16,11,2,0,1,1,0.2
16,12,2,0,1,1,0.2
16,13,2,0,1,1,1
16,14,2,0,1,1,0.4
16,15,2,0,1,1,3.4
16,16,2,0,1,1,3.9
16,17,2,0,1,1,2.3
16,21,2,0,1,1,1.2
16,6,2,0,1,0,4.6
16,8,2,0,1,0,0.1
16,9,2,0,1,0,-4.4
16,10,2,0,1,0,11.7
16,11,2,0,1,0,1.2
16,12,2,0,1,0,0.7
16,13,2,0,1,0,0
16,14,2,0,1,0,1.6
16,15,2,0,1,0,12.6
16,16,2,0,1,0,5.1
16,17,2,0,1,0,6.3
16,21,2,0,1,0,2.5
17,6,1,0,1,0,41390
17,6,1,0,1,1,39006
17,8,1,0,1,0,4535
17,8,1,0,1,1,4642
17,9,1,0,1,0,4023
17,9,1,0,1,1,4485
17,10,1,0,1,0,13296
17,10,1,0,1,1,11720
17,11,1,0,1,0,31891
17,11,1,0,1,1,31164
17,12,1,0,1,0,29096
17,12,1,0,1,1,28386
17,13,1,0,1,0,7681
